sale_id, customer_id, sale_date, store_id, total_amount, discount_amount, payment_method
1, 5631, 2022-12-08, 5, 481.42, 14.8, Cash
2, 2268, 2024-03-13, 1, 258.69, 16.03, PayPal
3, 3775, 2024-09-19, 9, 343.14, 41.95, Cash
4, 3536, 2023-08-16, 2, 279.98, 7.99, PayPal
5, 957, 2023-08-06, 10, 303.46, 22.51, PayPal
6, 6949, 2024-04-09, 3, 140.74, 27.2, PayPal
7, 9489, 2024-03-02, 9, 307.17, 38.54, Cash
8, 3794, 2023-05-05, 1, 73.92, 30.3, Credit Card
9, 1079, 2023-04-01, 8, 43.45, 49.77, Credit Card
10, 7428, 2024-04-16, 10, 171.19, 40.47, Cash
11, 5544, 2022-10-20, 10, 264.92, 35.47, Credit Card
12, 8858, 2024-05-10, 5, 452.08, 2.93, Cash
13, 9668, 2023-01-08, 8, 430.55, 30.34, Cash
14, 6286, 2023-02-25, 2, 29.11, 1.2, PayPal
15, 356, 2023-03-05, 8, 251.69, 15.15, Debit Card
16, 749, 2024-02-05, 9, 103.89, 41.9, Cash
17, 5166, 2024-09-03, 1, 317.77, 4.39, Debit Card
18, 3744, 2024-01-04, 1, 206.93, 46.02, Cash
19, 2893, 2023-12-15, 1, 233.5, 4.56, Cash
20, 3463, 2023-06-19, 5, 241.43, 28.86, Credit Card
21, 7290, 2024-02-25, 2, 262.24, 0.8, Cash
22, 4874, 2023-08-31, 9, 207.07, 29.42, Cash
23, 4483, 2023-10-05, 9, 320.1, 25.05, Credit Card
24, 8904, 2023-12-01, 7, 344.37, 0.32, Credit Card
25, 182, 2024-06-03, 3, 450.01, 36.2, Debit Card
26, 1237, 2023-06-01, 8, 476.05, 36.22, Cash
27, 275, 2023-01-21, 3, 251.93, 30.9, Debit Card
28, 3672, 2024-01-22, 2, 43.08, 43.41, Credit Card
29, 5764, 2022-11-13, 3, 331.1, 30.73, Cash
30, 193, 2023-04-13, 10, 454.58, 21.84, Debit Card
31, 8979, 2023-06-12, 9, 331.87, 5.17, Credit Card
32, 9349, 2022-12-13, 5, 57.09, 29.58, Cash
33, 1231, 2024-02-16, 4, 86.69, 42.29, Debit Card
34, 3203, 2023-02-20, 3, 81.66, 44.9, Debit Card
35, 9054, 2023-06-10, 2, 381.88, 46.06, PayPal
36, 641, 2023-03-26, 9, 298.56, 25.64, PayPal
37, 96, 2022-11-06, 10, 156.94, 44.52, Debit Card
